Player,PTS,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,International Flag,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,WS
Luka Garza,747,DET,2,52,2021,Iowa,2020-21,Iowa,0,31,31,975,281,508,237,408,44,100,141,199,93,178,271,54,21,50,47,70,0.553,0.581,0.44,0.709,0.62,0.596,F,SR,0.8
Corey Kispert,595,WAS,1,15,2021,Gonzaga,2020-21,Gonzaga,0,32,32,1019,209,395,118,188,91,207,86,98,30,129,159,58,29,14,42,54,0.529,0.628,0.44,0.878,0.674,0.644,F,SR,2.3
Ayo Dosunmu,564,CHI,2,38,2021,Illinois,2020-21,Illinois,0,28,28,984,210,430,178,348,32,82,112,143,31,146,177,147,31,6,93,58,0.488,0.511,0.39,0.783,0.566,0.526,G,JR,3
Cade Cunningham,544,DET,1,1,2021,Oklahoma State,2020-21,Oklahoma State,0,27,26,956,175,400,113,245,62,155,132,156,19,148,167,94,43,21,109,67,0.438,0.461,0.4,0.846,0.574,0.515,G,FR,-0.5
Evan Mobley,540,CLE,1,3,2021,Southern California,2020-21,Southern California,0,33,33,1120,197,341,185,301,12,40,134,193,90,196,286,79,26,95,74,58,0.578,0.615,0.3,0.694,0.624,0.595,F,FR,5.2
Moses Moody,539,GSW,1,14,2021,Arkansas,2020-21,Arkansas,0,32,32,1082,165,386,107,224,58,162,151,186,64,120,184,51,33,21,52,74,0.427,0.478,0.358,0.812,0.568,0.503,G,FR,1.3
Quentin Grimes,535,LAC,1,25,2021,Houston,2020-21,Houston,0,30,30,984,173,426,73,178,100,248,89,113,48,123,171,59,42,9,55,66,0.406,0.41,0.403,0.788,0.558,0.523,G,JR,1.4
Jared Butler,502,NOH,2,40,2021,Baylor,2020-21,Baylor,0,30,30,910,177,376,100,191,77,185,71,91,13,86,99,144,59,11,85,73,0.471,0.524,0.416,0.78,0.599,0.573,G,JR,0.4
Charles Bassey,494,PHI,2,53,2021,Western Kentucky,2020-21,Western Kentucky,0,28,28,851,194,329,176,270,18,59,88,116,92,233,325,19,11,87,62,67,0.59,0.652,0.305,0.759,0.643,0.617,C,JR,0.8
Sandro Mamukelashvili,473,IND,2,54,2021,Seton Hall,2020-21,Seton Hall,0,27,27,961,168,387,126,262,42,125,95,133,50,154,204,87,29,15,89,47,0.434,0.481,0.336,0.714,0.525,0.488,F,SR,1.1
Kessler Edwards,465,NJN,2,44,2021,Pepperdine,2020-21,Pepperdine,0,27,26,916,164,334,119,215,45,119,92,105,33,151,184,33,26,33,49,58,0.491,0.553,0.378,0.876,0.606,0.558,F,JR,0.6
Joe Wieskamp,460,SAS,2,41,2021,Iowa,2020-21,Iowa,0,31,31,907,161,328,88,170,73,158,65,96,37,169,206,53,29,10,43,48,0.491,0.518,0.462,0.677,0.616,0.602,G,JR,0.1
Miles McBride,460,OKC,2,36,2021,West Virginia,2020-21,West Virginia,0,29,28,991,157,364,111,253,46,111,100,123,34,79,113,140,55,9,53,49,0.431,0.439,0.414,0.813,0.544,0.495,G,SO,0.2
Aaron Wiggins,448,OKC,2,55,2021,Maryland,2020-21,Maryland,0,31,30,1023,165,370,108,210,57,160,61,79,35,146,181,79,35,17,61,63,0.446,0.514,0.356,0.772,0.55,0.523,G,JR,1.2
Chris Duarte,445,IND,1,13,2021,Oregon,2020-21,Oregon,0,26,26,886,160,301,99,157,61,144,64,79,19,101,120,69,49,21,59,36,0.532,0.631,0.424,0.81,0.657,0.633,G,SR,0.9
Neemias Queta,433,SAC,2,39,2021,Utah State,2020-21,Utah State,0,29,29,871,167,299,167,297,0,2,99,140,83,211,294,77,31,97,69,69,0.559,0.562,0,0.707,0.592,0.559,C,JR,0.1
Jalen Suggs,431,ORL,1,5,2021,Gonzaga,2020-21,Gonzaga,0,30,30,868,155,308,120,204,35,104,86,114,18,142,160,136,57,10,88,78,0.503,0.588,0.337,0.754,0.595,0.56,G,FR,-1.6
Davion Mitchell,420,SAC,1,9,2021,Baylor,2020-21,Baylor,0,30,30,991,158,309,95,168,63,141,41,64,14,66,80,165,57,11,73,71,0.511,0.565,0.447,0.641,0.619,0.613,G,JR,0.1
Jeremiah Robinson-Earl,393,NYK,2,32,2021,Villanova,2020-21,Villanova,0,25,25,862,155,312,132,230,23,82,60,84,62,150,212,55,24,16,40,57,0.497,0.574,0.28,0.714,0.558,0.534,F,SO,1.5
Tre Mann,385,OKC,1,18,2021,Florida,2020-21,Florida,0,24,24,777,133,290,88,178,45,112,74,89,16,119,135,83,33,3,68,57,0.459,0.494,0.402,0.831,0.579,0.536,G,SO,0.1
Santi Aldama,361,UTA,1,30,2021,Loyola (MD),2020-21,Loyola (MD),0,17,17,595,135,263,103,176,32,87,59,86,31,141,172,39,17,29,55,32,0.513,0.585,0.368,0.686,0.594,0.574,F,SO,0.3
Franz Wagner,349,ORL,1,8,2021,Michigan,2020-21,Michigan,0,28,28,887,124,260,89,158,35,102,66,79,20,163,183,84,35,29,36,62,0.477,0.563,0.343,0.835,0.587,0.544,G,SO,4
Jaden Springer,313,PHI,1,28,2021,Tennessee,2020-21,Tennessee,0,25,15,648,106,227,86,181,20,46,81,100,26,62,88,73,30,11,60,51,0.467,0.475,0.435,0.81,0.57,0.511,G,FR,0
Keon Johnson,306,NYK,1,21,2021,Tennessee,2020-21,Tennessee,0,27,17,688,111,247,98,199,13,48,71,101,29,66,95,67,30,12,71,64,0.449,0.492,0.271,0.703,0.519,0.476,G,FR,-0.5
Isaiah Livers,301,DET,2,42,2021,Michigan,2020-21,Michigan,0,23,23,727,102,223,52,107,50,116,47,54,25,113,138,46,13,17,26,37,0.457,0.486,0.431,0.87,0.605,0.57,F,SR,0.7
Brandon Boston Jr.,287,MEM,2,51,2021,Kentucky,2020-21,Kentucky,0,25,24,759,103,290,73,190,30,100,51,65,33,79,112,40,33,4,36,49,0.355,0.384,0.3,0.785,0.447,0.407,G,FR,0.4
Trey Murphy III,282,MEM,1,17,2021,Virginia,2020-21,Virginia,0,25,20,739,96,191,44,71,52,120,38,41,15,70,85,30,20,11,19,49,0.503,0.62,0.433,0.927,0.67,0.639,G,JR,1.9
James Bouknight,281,CHA,1,11,2021,Connecticut,2020-21,Connecticut,0,15,14,475,98,219,76,144,22,75,63,81,23,62,85,27,17,4,42,28,0.447,0.528,0.293,0.778,0.546,0.498,G,SO,0
Day'Ron Sharpe,275,PHO,1,29,2021,North Carolina,2020-21,North Carolina,0,29,4,556,112,216,112,214,0,2,51,101,97,122,219,42,23,26,57,59,0.519,0.523,0,0.505,0.521,0.519,F,FR,1.2
Dalano Banton,258,TOR,2,46,2021,Nebraska,2020-21,Nebraska,0,27,22,736,90,219,70,138,20,81,58,88,27,132,159,105,26,25,67,56,0.411,0.507,0.247,0.659,0.495,0.457,G,SO,0.4
JT Thor,253,DET,2,37,2021,Auburn,2020-21,Auburn,0,27,27,622,84,191,62,117,22,74,63,85,44,92,136,23,22,37,42,55,0.44,0.53,0.297,0.741,0.547,0.497,F,FR,0.3
Scottie Barnes,248,TOR,1,4,2021,Florida State,2020-21,Florida State,0,24,7,595,98,195,87,155,11,40,41,66,35,61,96,98,35,11,59,52,0.503,0.561,0.275,0.621,0.548,0.531,G,FR,6.6
Joshua Primo,244,SAS,1,12,2021,Alabama,2020-21,Alabama,0,30,19,674,84,195,41,82,43,113,33,44,31,70,101,25,17,9,41,50,0.431,0.5,0.381,0.75,0.565,0.541,G,FR,0
Sharife Cooper,242,ATL,2,48,2021,Auburn,2020-21,Auburn,0,12,12,397,72,184,59,127,13,57,85,103,8,43,51,97,12,3,50,32,0.391,0.465,0.228,0.825,0.519,0.427,G,FR,-0.2
David Johnson,240,TOR,2,47,2021,Louisville,2020-21,Louisville,0,19,19,667,90,219,58,136,32,83,28,40,17,93,110,60,20,5,61,51,0.411,0.426,0.386,0.7,0.504,0.484,G,SO,0
Jericho Sims,240,NYK,2,58,2021,Texas,2020-21,Texas,0,26,26,638,94,135,94,135,0,0,52,100,56,132,188,17,19,28,42,66,0.696,0.696,,0.52,0.658,0.696,F,SR,1.5
Kai Jones,230,NYK,1,19,2021,Texas,2020-21,Texas,0,26,4,594,83,143,70,109,13,34,51,74,51,75,126,16,22,24,36,69,0.58,0.642,0.382,0.689,0.646,0.626,F,SO,0
Josh Christopher,214,HOU,1,24,2021,Arizona State,2020-21,Arizona State,0,15,15,446,76,176,58,117,18,59,44,55,10,61,71,21,22,8,26,48,0.432,0.496,0.305,0.8,0.529,0.483,G,FR,0.3
Ziaire Williams,214,NOH,1,10,2021,Stanford,2020-21,Stanford,0,20,14,558,76,203,53,124,23,79,39,49,10,81,91,44,17,11,58,48,0.374,0.427,0.291,0.796,0.473,0.431,F,FR,2.2
Isaiah Jackson,211,LAL,1,22,2021,Kentucky,2020-21,Kentucky,0,25,18,519,74,137,74,135,0,2,63,90,53,112,165,18,19,65,38,75,0.54,0.548,0,0.7,0.587,0.54,F,FR,1.4
Scottie Lewis,165,CHA,2,56,2021,Florida,2020-21,Florida,0,21,9,538,57,128,43,84,14,44,37,55,17,48,65,31,33,22,39,52,0.445,0.512,0.318,0.673,0.535,0.5,G,SO,0
Jalen Johnson,146,ATL,1,20,2021,Duke,2020-21,Duke,0,13,8,278,57,109,49,91,8,18,24,38,20,59,79,29,15,16,33,29,0.523,0.538,0.444,0.632,0.575,0.56,F,FR,0
Precious Achiuwa,489,MIA,1,20,2020,Memphis,2019-20,Memphis,0,31,31,943,182,369,169,329,13,40,112,187,93,241,334,30,34,58,87,73,0.493,0.514,0.325,0.599,0.534,0.511,F,FR,2.5
Cole Anthony,407,ORL,1,15,2020,North Carolina,2019-20,North Carolina,0,22,20,768,131,345,82,204,49,141,96,128,10,115,125,88,29,6,77,64,0.38,0.402,0.348,0.75,0.501,0.451,G,FR,1.6
Udoka Azubuike,426,UTA,1,27,2020,Kansas,2019-20,Kansas,0,31,30,859,181,242,181,242,0,0,64,145,107,217,324,29,15,80,76,75,0.748,0.748,,0.441,0.685,0.748,C,SR,0.6
Desmond Bane,531,BOS,1,30,2020,TCU,2019-20,TCU,0,32,32,1152,197,436,105,228,92,208,45,57,46,157,203,124,47,17,74,70,0.452,0.461,0.442,0.789,0.573,0.557,G,SR,7.2
Saddiq Bey,499,NJN,1,19,2020,Villanova,2019-20,Villanova,0,31,31,1051,175,367,96,192,79,175,70,91,40,107,147,74,24,12,46,77,0.477,0.5,0.451,0.769,0.608,0.584,F,SO,4
Tyler Bey,429,PHI,2,6,2020,Colorado,2019-20,Colorado,0,31,30,898,140,264,127,233,13,31,136,183,62,218,280,46,48,36,75,59,0.53,0.545,0.419,0.743,0.611,0.555,G,JR,0
Vernon Carey Jr.,552,CHA,2,2,2020,Duke,2019-20,Duke,0,31,30,772,199,345,191,324,8,21,146,218,83,189,272,30,22,49,63,85,0.577,0.59,0.381,0.67,0.615,0.588,C,FR,0.2
Anthony Edwards,610,MIN,1,1,2020,Georgia,2019-20,Georgia,0,32,32,1057,203,505,131,260,72,245,132,171,24,143,167,91,43,18,87,70,0.402,0.504,0.294,0.772,0.52,0.473,G,FR,4.3
CJ Elleby,589,POR,2,16,2020,Washington State,2019-20,Washington State,0,32,32,1068,197,498,123,280,74,218,121,147,39,212,251,60,56,26,69,94,0.396,0.439,0.339,0.823,0.519,0.47,F,SO,0.4
Malachi Flynn,564,TOR,1,29,2020,San Diego State,2019-20,San Diego State,0,32,32,1070,184,417,108,213,76,204,120,140,20,123,143,162,56,3,57,56,0.441,0.507,0.373,0.857,0.583,0.532,G,JR,1
Josh Green,359,DAL,1,18,2020,Arizona,2019-20,Arizona,0,30,30,926,122,288,92,205,30,83,85,109,39,98,137,78,46,13,49,73,0.424,0.449,0.361,0.78,0.528,0.476,G,FR,2.4
Tyrese Haliburton,335,SAC,1,12,2020,Iowa State,2019-20,Iowa State,0,22,22,807,123,244,71,120,52,124,37,45,32,97,129,142,54,15,61,28,0.504,0.592,0.419,0.822,0.631,0.611,G,SO,7
Jalen Harris,650,TOR,2,29,2020,Nevada,2019-20,Nevada,0,30,30,991,224,502,157,317,67,185,135,164,24,170,194,118,34,4,72,69,0.446,0.495,0.362,0.823,0.56,0.513,G,JR,0.3
Elijah Hughes,609,NOH,2,9,2020,Syracuse,2019-20,Syracuse,0,32,32,1175,198,464,120,236,78,228,135,166,14,144,158,109,37,26,73,58,0.427,0.508,0.342,0.813,0.561,0.511,F,JR,0
Isaiah Joe,439,PHI,2,19,2020,Arkansas,2019-20,Arkansas,0,26,25,939,132,360,38,85,94,275,81,91,14,93,107,45,37,7,45,48,0.367,0.447,0.342,0.89,0.544,0.497,G,SO,0.6
Tre Jones,471,SAS,2,11,2020,Duke,2019-20,Duke,0,29,29,1028,162,383,123,275,39,108,108,140,19,104,123,185,52,10,78,51,0.423,0.447,0.361,0.771,0.524,0.474,G,SO,2.9
Saben Lee,594,UTA,2,8,2020,Vanderbilt,2019-20,Vanderbilt,0,32,17,1052,200,414,161,293,39,121,155,206,18,95,113,134,49,9,99,57,0.483,0.549,0.322,0.752,0.58,0.53,G,JR,1.5
Kira Lewis Jr.,573,NOH,1,13,2020,Alabama,2019-20,Alabama,0,31,31,1167,206,449,150,296,56,153,105,131,26,122,148,162,56,18,110,81,0.459,0.507,0.366,0.802,0.56,0.521,G,SO,0.9
Nico Mannion,447,GSW,2,18,2020,Arizona,2019-20,Arizona,0,32,32,1032,144,367,91,205,53,162,106,133,8,72,80,169,38,0,82,55,0.392,0.444,0.327,0.797,0.52,0.465,G,FR,0.2
Tyrese Maxey,433,PHI,1,21,2020,Kentucky,2019-20,Kentucky,0,31,28,1069,150,351,117,238,33,113,100,120,12,121,133,99,27,12,67,74,0.427,0.492,0.292,0.833,0.531,0.474,G,FR,7.3
Skylar Mays,517,ATL,2,20,2020,Louisiana State,2019-20,Louisiana State,0,31,31,1067,169,344,119,217,50,127,129,151,15,141,156,100,55,7,70,52,0.491,0.548,0.394,0.854,0.622,0.564,G,SR,0.8
Jaden McDaniels,402,LAL,1,28,2020,Washington,2019-20,Washington,0,31,21,963,136,336,93,209,43,127,87,114,34,146,180,65,24,43,100,103,0.405,0.445,0.339,0.763,0.515,0.469,F,FR,2.4
Sam Merrill,629,NOH,2,30,2020,Utah State,2019-20,Utah State,0,32,32,1119,195,423,106,206,89,217,150,168,7,125,132,125,28,3,50,73,0.461,0.515,0.41,0.893,0.625,0.566,G,SR,0.5
Aaron Nesmith,322,BOS,1,14,2020,Vanderbilt,2019-20,Vanderbilt,0,14,14,500,105,205,45,90,60,115,52,63,11,57,68,13,20,12,24,39,0.512,0.5,0.522,0.825,0.685,0.659,F,SO,1.1
Zeke Nnaji,515,DEN,1,22,2020,Arizona,2019-20,Arizona,0,32,32,981,179,314,174,297,5,17,152,200,99,177,276,27,23,28,70,76,0.57,0.586,0.294,0.76,0.63,0.578,F,FR,1.8
Jordan Nwora,558,MIL,2,15,2020,Louisville,2019-20,Louisville,0,31,30,1026,189,430,113,241,76,189,104,128,52,187,239,40,23,8,65,69,0.44,0.469,0.402,0.813,0.568,0.528,F,JR,0.6
Onyeka Okongwu,454,ATL,1,6,2020,Southern California,2019-20,Southern California,0,28,28,858,175,284,174,280,1,4,103,143,92,150,242,30,34,76,56,75,0.616,0.621,0.25,0.72,0.645,0.618,F,FR,4.2
Isaac Okoro,360,CLE,1,5,2020,Auburn,2019-20,Auburn,0,28,28,881,125,243,105,173,20,70,90,134,53,71,124,57,26,25,55,76,0.514,0.607,0.286,0.672,0.587,0.556,F,FR,4.2
Daniel Oturu,623,MIN,2,3,2020,Minnesota,2019-20,Minnesota,0,31,31,1050,238,423,219,371,19,52,128,181,116,233,349,34,17,76,88,83,0.563,0.59,0.365,0.707,0.612,0.585,C,SO,0.3
Reggie Perry,538,LAC,2,27,2020,Mississippi State,2019-20,Mississippi State,0,31,31,963,183,366,160,295,23,71,149,194,97,215,312,72,26,36,90,96,0.5,0.542,0.324,0.768,0.587,0.531,F,SO,0.2
Payton Pritchard,635,BOS,1,26,2020,Oregon,2019-20,Oregon,0,31,31,1135,216,462,128,250,88,212,115,140,21,113,134,172,47,1,85,62,0.468,0.512,0.415,0.821,0.601,0.563,G,SR,3.1
Immanuel Quickley,482,OKC,1,25,2020,Kentucky,2019-20,Kentucky,0,30,20,989,138,331,76,186,62,145,144,156,16,110,126,56,27,4,48,70,0.417,0.409,0.428,0.923,0.595,0.511,G,SO,4.2
Jahmi'us Ramsey,406,SAC,2,13,2020,Texas Tech,2019-20,Texas Tech,0,27,27,842,148,335,88,194,60,141,50,78,20,88,108,60,36,18,54,59,0.442,0.454,0.426,0.641,0.546,0.531,G,FR,0
Paul Reed,439,PHI,2,28,2020,DePaul,2019-20,DePaul,0,29,29,918,182,353,166,301,16,52,59,80,95,215,310,47,54,74,66,86,0.516,0.551,0.308,0.738,0.561,0.538,F,JR,1.3
Nick Richards,435,NOH,2,12,2020,Kentucky,2019-20,Kentucky,0,31,30,919,163,254,163,254,0,0,109,145,81,160,241,7,3,66,49,98,0.642,0.642,,0.752,0.674,0.642,F,JR,1
Grant Riller,678,CHA,2,26,2020,College of Charleston,2019-20,College of Charleston,0,31,31,1039,227,455,180,325,47,130,177,214,16,143,159,122,49,10,97,70,0.499,0.554,0.362,0.827,0.609,0.551,G,SR,0.1
Jalen Smith,479,PHO,1,10,2020,Maryland,2019-20,Maryland,0,31,31,970,168,312,136,225,32,87,111,148,99,227,326,25,22,73,53,73,0.538,0.604,0.368,0.75,0.626,0.59,F,SO,2.8
Cassius Stanley,364,IND,2,24,2020,Duke,2019-20,Duke,0,29,29,796,128,270,97,184,31,86,77,105,54,87,141,30,20,21,54,63,0.474,0.527,0.36,0.733,0.569,0.531,G,FR,0.1
Isaiah Stewart,543,POR,1,16,2020,Washington,2019-20,Washington,0,32,32,1031,192,337,187,317,5,20,154,199,88,193,281,27,17,66,71,84,0.57,0.59,0.25,0.774,0.629,0.577,F,FR,4
Tyrell Terry,454,DAL,2,1,2020,Stanford,2019-20,Stanford,0,31,31,1010,147,333,85,181,62,152,98,110,11,128,139,99,43,2,82,64,0.441,0.47,0.408,0.891,0.589,0.535,G,FR,0
Obi Toppin,621,NYK,1,8,2020,Dayton,2019-20,Dayton,0,31,31,981,245,387,213,305,32,82,99,141,37,197,234,67,30,38,68,51,0.633,0.698,0.39,0.702,0.684,0.674,F,SO,3.9
Devin Vassell,380,SAS,1,11,2020,Florida State,2019-20,Florida State,0,30,30,863,144,294,100,188,44,106,48,65,38,114,152,49,42,29,23,58,0.49,0.532,0.415,0.738,0.585,0.565,G,SO,3.3
Patrick Williams,268,CHI,1,4,2020,Florida State,2019-20,Florida State,0,29,0,653,95,207,79,157,16,50,62,74,38,78,116,29,29,30,50,47,0.459,0.503,0.32,0.838,0.553,0.498,F,FR,2.5
Cassius Winston,558,OKC,2,23,2020,Michigan State,2019-20,Michigan State,0,30,30,980,185,413,112,244,73,169,115,135,6,69,75,176,36,1,96,59,0.448,0.459,0.432,0.852,0.585,0.536,G,SR,0.1
James Wiseman,59,GSW,1,2,2020,Memphis,2019-20,Memphis,0,3,3,69,20,26,20,25,0,1,19,27,13,19,32,1,1,9,3,5,0.769,0.8,0,0.704,0.76,0.769,C,FR,0.7
Nickeil Alexander-Walker,550,NJN,1,17,2019,Virginia Tech,2018-19,Virginia Tech,0,34,34,1167,190,401,132,246,58,155,112,144,16,123,139,135,64,18,97,78,0.474,0.537,0.374,0.778,0.586,0.546,G,SO,0.7
Bol Bol,189,MIA,2,14,2019,Oregon,2018-19,Oregon,0,9,9,268,74,132,61,107,13,25,28,37,19,67,86,9,7,24,18,15,0.561,0.57,0.52,0.757,0.632,0.61,C,FR,0.1
